['2022-09-25', 29.69]
['2022-09-26', 45.3]
['2022-09-27', 41.74]
['2022-09-28', 40.53]
['2022-09-29', 24.8]
['2022-09-30', 30.3]
['2022-10-01', 67.93]
['2022-10-02', 16.58]
['2022-10-03', 37.85]
['2022-10-04', 30.5]
['2022-10-05', 23.5]
['2022-10-06', 20.2]
['2022-10-07', 25.0]
['2022-10-08', 31.0]
['2022-10-09', 35.0]
['2022-10-10', 34.7]
['2022-10-11', 21.4]
['2022-10-12', 27.5]
['2022-10-13', 41.85]
['2022-10-14', 12.0]
['2022-10-15', 13.8]
['2022-10-16', 18.0]
['2022-10-17', 29.7]
['2022-10-18', 34.0]
['2022-10-19', 32.02]
['2022-10-20', 45.15]
['2022-10-21', 11.8]
['2022-10-22', 45.0]
['2022-10-23', 67.0]
['2022-10-24', 20.4]
['2022-10-25', 24.7]
['2022-10-26', 26.05]
['2022-10-27', 34.0]
['2022-10-28', 22.3]
['2022-10-29', 14.8]
